time,acc
1.2512,45.0893
1.2664,45.6473
1.2688,39.1741
1.2310,38.8393
1.2392,39.1741
1.2513,45.3125
1.2404,37.3884
1.2566,39.1741
1.2631,38.8393
1.3246,44.4196
1.2601,39.1741
1.2714,39.1741
1.2536,39.1741
1.2242,39.1741
1.2627,41.9643
1.3092,39.1741
1.2536,34.4866
1.4404,35.6027
1.3956,29.1295
1.4070,42.2991
